# LLM Pricing Comparison

> A regularly updated comparison of pricing, context length, and capabilities for 91+ large language model APIs from OpenAI, Anthropic, Google, DeepSeek, xAI, Alibaba. All prices are in USD per 1 million tokens.

Source: https://llmpricing.dev
Last updated: 2026-07-19

## OpenAI

Pricing source: https://platform.openai.com/docs/pricing

| Model | Input (per 1M) | Output (per 1M) | Context | Capabilities |
| --- | --- | --- | --- | --- |
| text-embedding-3-small | $0.02 | - | 8K | text, embedding |
| text-embedding-3-large | $0.13 | - | 8K | text, embedding |
| text-embedding-ada-002 | $0.1 | - | 8K | text, embedding |
| gpt-5.6-sol | $5 | $30 | 400K | text, json-output, function-calling, reasoning, image-input, multimodal |
| gpt-5.6-terra | $2.5 | $15 | 400K | text, json-output, function-calling, reasoning, image-input, multimodal |
| gpt-5.6-luna | $1 | $6 | 400K | text, json-output, function-calling, reasoning, image-input, multimodal |
| gpt-5.5 | $5 | $30 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5.5-pro | $30 | $180 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5.4 | $2.5 | $15 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5.4-pro | $30 | $180 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5.4-mini | $0.75 | $4.5 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5.4-nano | $0.2 | $1.25 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5-pro | $15 | $120 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5 | $1.25 | $10 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5-mini | $0.25 | $2 | 200K | text, json-output, function-calling, image-input, multimodal |
| gpt-5-nano | $0.05 | $0.4 | 128K | text, json-output, function-calling, image-input, multimodal |
| gpt-5-chat-latest | $1.25 | $10 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5-codex | $1.25 | $10 | 400K | coder, json-output, function-calling |
| gpt-5.1 | $1.25 | $10 | 400K | text, json-output, function-calling, image-input, multimodal |
| gpt-5.1-codex | $1.25 | $10 | 400K | coder, json-output, function-calling, image-input, multimodal |
| gpt-5.1-codex-max | $1.25 | $10 | 400K | coder, json-output, function-calling, image-input, multimodal |
